id,name_ja,name_en,rarity,price,type,description,image_rel,locations
image_001ccf9d,,,,,,,items/image_001ccf9d.png,
image_01d37766,,,,,,,items/image_01d37766.png,
image_0583bd09,,,,,,,items/image_0583bd09.png,
image_05c70b05,,,,,,,items/image_05c70b05.png,
image_0656105d,,,,,,,items/image_0656105d.png,
image_0727b7f7,,,,,,,items/image_0727b7f7.png,
image_07c69daa,,,,,,,items/image_07c69daa.png,
image_0a6ca591,,,,,,,items/image_0a6ca591.png,
image_0d106a6c,,,,,,,items/image_0d106a6c.png,
image_0e694c45,,,,,,,items/image_0e694c45.png,
image_0e911767,,,,,,,items/image_0e911767.png,
image_0ea138c2,,,,,,,items/image_0ea138c2.png,
image_108f64f1,,,,,,,items/image_108f64f1.png,
image_11911f0e,,,,,,,items/image_11911f0e.png,
image_12d54e6c,,,,,,,items/image_12d54e6c.png,
image_13c0b192,,,,,,,items/image_13c0b192.png,
image_14c62b5b,,,,,,,items/image_14c62b5b.png,
image_15119ec9,,,,,,,items/image_15119ec9.png,
image_1519af44,,,,,,,items/image_1519af44.png,
image_15928417,,,,,,,items/image_15928417.png,
image_159c3e69,,,,,,,items/image_159c3e69.png,
image_161887f4,,,,,,,items/image_161887f4.png,
image_16a6f668,,,,,,,items/image_16a6f668.png,
image_16de2b4e,,,,,,,items/image_16de2b4e.png,
image_19a7ee16,,,,,,,items/image_19a7ee16.png,
image_1a2145cc,,,,,,,items/image_1a2145cc.png,
image_1a2c66af,,,,,,,items/image_1a2c66af.png,
image_1be57d3d,,,,,,,items/image_1be57d3d.png,
image_1c8ba500,,,,,,,items/image_1c8ba500.png,
image_1ca396d3,,,,,,,items/image_1ca396d3.png,
image_1d7367b6,,,,,,,items/image_1d7367b6.png,
image_1e8ecea8,,,,,,,items/image_1e8ecea8.png,
image_1eb4ca35,,,,,,,items/image_1eb4ca35.png,
image_1ebebd69,,,,,,,items/image_1ebebd69.png,
image_1edfafb8,,,,,,,items/image_1edfafb8.png,
image_1ee4e937,,,,,,,items/image_1ee4e937.png,
image_1fa6b6fb,,,,,,,items/image_1fa6b6fb.png,
image_20b762ca,,,,,,,items/image_20b762ca.png,
image_21114941,,,,,,,items/image_21114941.png,
image_217a4b38,,,,,,,items/image_217a4b38.png,
image_23df6eae,,,,,,,items/image_23df6eae.png,
image_25296bc3,,,,,,,items/image_25296bc3.png,
image_2632c416,,,,,,,items/image_2632c416.png,
image_26b2c24b,,,,,,,items/image_26b2c24b.png,
image_27536e07,,,,,,,items/image_27536e07.png,
image_27bf3c57,,,,,,,items/image_27bf3c57.png,
image_286a0b78,,,,,,,items/image_286a0b78.png,
image_2a1ce0fd,,,,,,,items/image_2a1ce0fd.png,
image_2bccd52e,,,,,,,items/image_2bccd52e.png,
image_2c190252,,,,,,,items/image_2c190252.png,
image_2c248ba3,,,,,,,items/image_2c248ba3.png,
image_2ea40597,,,,,,,items/image_2ea40597.png,
image_2f8071f7,,,,,,,items/image_2f8071f7.png,
image_30d95c8d,,,,,,,items/image_30d95c8d.png,
image_3100e2fb,,,,,,,items/image_3100e2fb.png,
image_332fed7a,,,,,,,items/image_332fed7a.png,
image_33f05c86,,,,,,,items/image_33f05c86.png,
image_344298d7,,,,,,,items/image_344298d7.png,
image_34ec75a3,,,,,,,items/image_34ec75a3.png,
image_3506f101,,,,,,,items/image_3506f101.png,
image_358f643d,,,,,,,items/image_358f643d.png,
image_37058094,,,,,,,items/image_37058094.png,
image_378b95c4,,,,,,,items/image_378b95c4.png,
image_3a9923ec,,,,,,,items/image_3a9923ec.png,
image_3ac5a21e,,,,,,,items/image_3ac5a21e.png,
image_3cd2bcdb,,,,,,,items/image_3cd2bcdb.png,
image_3f275057,,,,,,,items/image_3f275057.png,
image_3fb46160,,,,,,,items/image_3fb46160.png,
image_400c4f72,,,,,,,items/image_400c4f72.png,
image_42df167a,,,,,,,items/image_42df167a.png,
image_452cd3e8,,,,,,,items/image_452cd3e8.png,
image_46dbd013,,,,,,,items/image_46dbd013.png,
image_4755fca6,,,,,,,items/image_4755fca6.png,
image_48d33b28,,,,,,,items/image_48d33b28.png,
image_49faa36c,,,,,,,items/image_49faa36c.png,
image_4a2cb8b9,,,,,,,items/image_4a2cb8b9.png,
image_4a501443,,,,,,,items/image_4a501443.png,
image_4ae86aa3,,,,,,,items/image_4ae86aa3.png,
image_4be7ddc5,,,,,,,items/image_4be7ddc5.png,
image_4c554526,,,,,,,items/image_4c554526.png,
image_4c84ad27,,,,,,,items/image_4c84ad27.png,
image_4cb0dcff,,,,,,,items/image_4cb0dcff.png,
image_4d904f09,,,,,,,items/image_4d904f09.png,
image_4da802ff,,,,,,,items/image_4da802ff.png,
image_4dd3546e,,,,,,,items/image_4dd3546e.png,
image_4ec90037,,,,,,,items/image_4ec90037.png,
image_4ed3ae41,,,,,,,items/image_4ed3ae41.png,
image_4f1e38e5,,,,,,,items/image_4f1e38e5.png,
image_4f7adfe1,,,,,,,items/image_4f7adfe1.png,
image_508d34a0,,,,,,,items/image_508d34a0.png,
image_50ac8be0,,,,,,,items/image_50ac8be0.png,
image_51afb841,,,,,,,items/image_51afb841.png,
image_54c3e1ee,,,,,,,items/image_54c3e1ee.png,
image_56bc63b2,,,,,,,items/image_56bc63b2.png,
image_56ccbc46,,,,,,,items/image_56ccbc46.png,
image_5865332d,,,,,,,items/image_5865332d.png,
image_58a603b0,,,,,,,items/image_58a603b0.png,
image_5a6965b2,,,,,,,items/image_5a6965b2.png,
image_5ba69fa6,,,,,,,items/image_5ba69fa6.png,
image_5c830701,,,,,,,items/image_5c830701.png,
image_5db3134a,,,,,,,items/image_5db3134a.png,
image_5dee8612,,,,,,,items/image_5dee8612.png,
image_5e690c4e,,,,,,,items/image_5e690c4e.png,
image_5faa73d1,,,,,,,items/image_5faa73d1.png,
image_5fe35c5e,,,,,,,items/image_5fe35c5e.png,
image_5feaa8c9,,,,,,,items/image_5feaa8c9.png,
image_604f4480,,,,,,,items/image_604f4480.png,
image_61e07dd1,,,,,,,items/image_61e07dd1.png,
image_631cd867,,,,,,,items/image_631cd867.png,
image_639308b0,,,,,,,items/image_639308b0.png,
image_64cd2663,,,,,,,items/image_64cd2663.png,
image_65409732,,,,,,,items/image_65409732.png,
image_66602953,,,,,,,items/image_66602953.png,
image_66c2f8c7,,,,,,,items/image_66c2f8c7.png,
image_66c90179,,,,,,,items/image_66c90179.png,
image_675d27f9,,,,,,,items/image_675d27f9.png,
image_6825aebc,,,,,,,items/image_6825aebc.png,
image_683f0473,,,,,,,items/image_683f0473.png,
image_69492ebb,,,,,,,items/image_69492ebb.png,
image_698d8889,,,,,,,items/image_698d8889.png,
image_69aa9632,,,,,,,items/image_69aa9632.png,
image_6ba9bfae,,,,,,,items/image_6ba9bfae.png,
image_6d6cc553,,,,,,,items/image_6d6cc553.png,
image_6df8b8b5,,,,,,,items/image_6df8b8b5.png,
image_6eab5957,,,,,,,items/image_6eab5957.png,
image_6f7bce9a,,,,,,,items/image_6f7bce9a.png,
image_733a77c4,,,,,,,items/image_733a77c4.png,
image_734592d9,,,,,,,items/image_734592d9.png,
image_73506b6c,,,,,,,items/image_73506b6c.png,
image_7391212b,,,,,,,items/image_7391212b.png,
image_73e1339a,,,,,,,items/image_73e1339a.png,
image_74b72c3d,,,,,,,items/image_74b72c3d.png,
image_75a4e394,,,,,,,items/image_75a4e394.png,
image_7601cc8b,,,,,,,items/image_7601cc8b.png,
image_77688f7d,,,,,,,items/image_77688f7d.png,
image_786dd44e,,,,,,,items/image_786dd44e.png,
image_796e8ec2,,,,,,,items/image_796e8ec2.png,
image_7bb06f7b,,,,,,,items/image_7bb06f7b.png,
image_7d7345b1,,,,,,,items/image_7d7345b1.png,
image_7e73437a,,,,,,,items/image_7e73437a.png,
image_7eae9dff,,,,,,,items/image_7eae9dff.png,
image_7f13bc08,,,,,,,items/image_7f13bc08.png,
image_7fafb10c,,,,,,,items/image_7fafb10c.png,
image_80a94cfb,,,,,,,items/image_80a94cfb.png,
image_82890ce2,,,,,,,items/image_82890ce2.png,
image_82a1091b,,,,,,,items/image_82a1091b.png,
image_82a647fa,,,,,,,items/image_82a647fa.png,
image_82c2c812,,,,,,,items/image_82c2c812.png,
image_83f4cbc7,,,,,,,items/image_83f4cbc7.png,
image_84490e72,,,,,,,items/image_84490e72.png,
image_8487f985,,,,,,,items/image_8487f985.png,
image_84d2c2cd,,,,,,,items/image_84d2c2cd.png,
image_8682fc85,,,,,,,items/image_8682fc85.png,
image_86c1bdb3,,,,,,,items/image_86c1bdb3.png,
image_87ae4bf3,,,,,,,items/image_87ae4bf3.png,
image_87d81b45,,,,,,,items/image_87d81b45.png,
image_8c8b0cc4,,,,,,,items/image_8c8b0cc4.png,
image_8ced7e6a,,,,,,,items/image_8ced7e6a.png,
image_8d2154ae,,,,,,,items/image_8d2154ae.png,
image_8d78effc,,,,,,,items/image_8d78effc.png,
image_8ef7f889,,,,,,,items/image_8ef7f889.png,
image_909b63fb,,,,,,,items/image_909b63fb.png,
image_943c03ea,,,,,,,items/image_943c03ea.png,
image_9563dabf,,,,,,,items/image_9563dabf.png,
image_95c16ff7,,,,,,,items/image_95c16ff7.png,
image_97d888a1,,,,,,,items/image_97d888a1.png,
image_97df02c9,,,,,,,items/image_97df02c9.png,
image_98837a69,,,,,,,items/image_98837a69.png,
image_9913a53d,,,,,,,items/image_9913a53d.png,
image_9b82de25,,,,,,,items/image_9b82de25.png,
image_9b8fbd2a,,,,,,,items/image_9b8fbd2a.png,
image_9d12ff72,,,,,,,items/image_9d12ff72.png,
image_9d899fad,,,,,,,items/image_9d899fad.png,
image_9e1e38f2,,,,,,,items/image_9e1e38f2.png,
image_a02a9d0d,,,,,,,items/image_a02a9d0d.png,
image_a0fb00ec,,,,,,,items/image_a0fb00ec.png,
image_a1a497a0,,,,,,,items/image_a1a497a0.png,
image_a2369d4a,,,,,,,items/image_a2369d4a.png,
image_a33a9d97,,,,,,,items/image_a33a9d97.png,
image_a400b40c,,,,,,,items/image_a400b40c.png,
image_a61d1b11,,,,,,,items/image_a61d1b11.png,
image_a760968e,,,,,,,items/image_a760968e.png,
image_a792128b,,,,,,,items/image_a792128b.png,
image_a7a8704c,,,,,,,items/image_a7a8704c.png,
image_a7f78933,,,,,,,items/image_a7f78933.png,
image_a9e27586,,,,,,,items/image_a9e27586.png,
image_aa29cf23,,,,,,,items/image_aa29cf23.png,
image_aabf890d,,,,,,,items/image_aabf890d.png,
image_aae9bf1f,,,,,,,items/image_aae9bf1f.png,
image_ab1fe77f,,,,,,,items/image_ab1fe77f.png,
image_ab2173df,,,,,,,items/image_ab2173df.png,
image_ab807af8,,,,,,,items/image_ab807af8.png,
image_ac29d92d,,,,,,,items/image_ac29d92d.png,
image_ac6a3a3d,,,,,,,items/image_ac6a3a3d.png,
image_accafcce,,,,,,,items/image_accafcce.png,
image_ae5a986f,,,,,,,items/image_ae5a986f.png,
image_ae7369ef,,,,,,,items/image_ae7369ef.png,
image_af1d8d74,,,,,,,items/image_af1d8d74.png,
image_af4dfcb5,,,,,,,items/image_af4dfcb5.png,
image_af9252fd,,,,,,,items/image_af9252fd.png,
image_afbbf9e3,,,,,,,items/image_afbbf9e3.png,
image_b0f5b417,,,,,,,items/image_b0f5b417.png,
image_b14be394,,,,,,,items/image_b14be394.png,
image_b2c1a7ab,,,,,,,items/image_b2c1a7ab.png,
image_b327b43c,,,,,,,items/image_b327b43c.png,
image_b3344f79,,,,,,,items/image_b3344f79.png,
image_b3e29ea3,,,,,,,items/image_b3e29ea3.png,
image_b492d1c7,,,,,,,items/image_b492d1c7.png,
image_b58461fb,,,,,,,items/image_b58461fb.png,
image_b618f4d8,,,,,,,items/image_b618f4d8.png,
image_b651dfee,,,,,,,items/image_b651dfee.png,
image_b6696616,,,,,,,items/image_b6696616.png,
image_ba2e0e05,,,,,,,items/image_ba2e0e05.png,
image_bb7a5b90,,,,,,,items/image_bb7a5b90.png,
image_bcc78533,,,,,,,items/image_bcc78533.png,
image_bd4f394f,,,,,,,items/image_bd4f394f.png,
image_bf8c0d0b,,,,,,,items/image_bf8c0d0b.png,
image_bf9fc3a3,,,,,,,items/image_bf9fc3a3.png,
image_bfced18c,,,,,,,items/image_bfced18c.png,
image_c01cae8e,,,,,,,items/image_c01cae8e.png,
image_c04f9107,,,,,,,items/image_c04f9107.png,
image_c19e537f,,,,,,,items/image_c19e537f.png,
image_c28dcc0f,,,,,,,items/image_c28dcc0f.png,
image_c2e5bcdf,,,,,,,items/image_c2e5bcdf.png,
image_c39b9f44,,,,,,,items/image_c39b9f44.png,
image_c4bdca23,,,,,,,items/image_c4bdca23.png,
image_c581084b,,,,,,,items/image_c581084b.png,
image_c6d14b16,,,,,,,items/image_c6d14b16.png,
image_c7f56fd8,,,,,,,items/image_c7f56fd8.png,
image_c936439a,,,,,,,items/image_c936439a.png,
image_ca2a2955,,,,,,,items/image_ca2a2955.png,
image_cacd0bc5,,,,,,,items/image_cacd0bc5.png,
image_cb7982c5,,,,,,,items/image_cb7982c5.png,
image_ccb92abe,,,,,,,items/image_ccb92abe.png,
image_ccc786f3,,,,,,,items/image_ccc786f3.png,
image_cd5d4fc5,,,,,,,items/image_cd5d4fc5.png,
image_cdb5a1cf,,,,,,,items/image_cdb5a1cf.png,
image_d28bf71f,,,,,,,items/image_d28bf71f.png,
image_d2909ef9,,,,,,,items/image_d2909ef9.png,
image_d3dbcde6,,,,,,,items/image_d3dbcde6.png,
image_d45ead84,,,,,,,items/image_d45ead84.png,
image_d6d65fb7,,,,,,,items/image_d6d65fb7.png,
image_d89a61f8,,,,,,,items/image_d89a61f8.png,
image_d8b1de98,,,,,,,items/image_d8b1de98.png,
image_d8e3a53c,,,,,,,items/image_d8e3a53c.png,
image_d9052410,,,,,,,items/image_d9052410.png,
image_d9f7b72a,,,,,,,items/image_d9f7b72a.png,
image_db6482bb,,,,,,,items/image_db6482bb.png,
image_dc9baead,,,,,,,items/image_dc9baead.png,
image_dd8fcef9,,,,,,,items/image_dd8fcef9.png,
image_e187c923,,,,,,,items/image_e187c923.png,
image_e2abb2be,,,,,,,items/image_e2abb2be.png,
image_e3b0a6af,,,,,,,items/image_e3b0a6af.png,
image_e57ee719,,,,,,,items/image_e57ee719.png,
image_e6419928,,,,,,,items/image_e6419928.png,
image_e7401b52,,,,,,,items/image_e7401b52.png,
image_e9916c9b,,,,,,,items/image_e9916c9b.png,
image_ea989605,,,,,,,items/image_ea989605.png,
image_ebeff0fb,,,,,,,items/image_ebeff0fb.png,
image_ee436289,,,,,,,items/image_ee436289.png,
image_f06731c4,,,,,,,items/image_f06731c4.png,
image_f0b38753,,,,,,,items/image_f0b38753.png,
image_f199bcc4,,,,,,,items/image_f199bcc4.png,
image_f2c01eee,,,,,,,items/image_f2c01eee.png,
image_f34304fc,,,,,,,items/image_f34304fc.png,
image_f38cd351,,,,,,,items/image_f38cd351.png,
image_f3a6b144,,,,,,,items/image_f3a6b144.png,
image_f3bd2199,,,,,,,items/image_f3bd2199.png,
image_f56050c0,,,,,,,items/image_f56050c0.png,
image_f6738446,,,,,,,items/image_f6738446.png,
image_f6a6ad39,,,,,,,items/image_f6a6ad39.png,
image_f6c08d63,,,,,,,items/image_f6c08d63.png,
image_f992eee4,,,,,,,items/image_f992eee4.png,
image_fab92d83,,,,,,,items/image_fab92d83.png,
image_faeb6ef3,,,,,,,items/image_faeb6ef3.png,
image_fc06cc7b,,,,,,,items/image_fc06cc7b.png,
image_fd3ee5b3,,,,,,,items/image_fd3ee5b3.png,
image_fe1d0eab,,,,,,,items/image_fe1d0eab.png,
image_fffb87ad,,,,,,,items/image_fffb87ad.png,
